,id,match_api_id,home_team_api_id,Hometeam_rating,Awayteam_rating,league,avg_player_rating
483,484,665354,9984,64.9414305391578,69.06267395363942,Belgium Jupiler League,67.00205224639862
484,485,665357,8571,65.61434784763662,68.0490261083003,Belgium Jupiler League,66.83168697796846
485,486,665358,8203,65.38342727979092,59.76914600550965,Belgium Jupiler League,62.57628664265029
486,487,665359,9999,56.95656565656565,59.4865616511268,Belgium Jupiler League,58.221563653846225
487,488,665360,10001,64.32000726546181,65.82519214355135,Belgium Jupiler League,65.07259970450659
488,489,665361,8342,68.93631721858705,67.4590428090428,Belgium Jupiler League,68.19768001381493
489,490,665362,9985,72.6055534956536,65.38342727979092,Belgium Jupiler League,68.99449038772227
490,491,665363,9997,59.76914600550965,72.71008857366361,Belgium Jupiler League,66.23961728958663
491,492,665364,10000,66.14337396173316,65.61434784763662,Belgium Jupiler League,65.8788609046849
492,493,665365,9986,59.92255257642255,65.53925662611435,Belgium Jupiler League,62.73090460126845
493,494,665366,9991,67.95243519920939,62.87994227994229,Belgium Jupiler League,65.41618873957584
494,495,665368,9993,66.00774532953677,65.23813661086388,Belgium Jupiler League,65.62294097020032
495,496,665370,8635,73.73722686246519,67.91266247193666,Belgium Jupiler League,70.82494466720092
496,497,665371,9987,60.96618566618567,59.43630353134997,Belgium Jupiler League,60.20124459876782
497,498,665374,9984,65.53925662611434,65.83647909577054,Belgium Jupiler League,65.68786786094245
498,499,665376,9994,64.86303595394504,71.04009720864559,Belgium Jupiler League,67.95156658129531
499,500,665378,8571,65.61434784763664,59.76914600550965,Belgium Jupiler League,62.691746926573146
500,501,665379,8203,65.87909827546191,55.938528138528135,Belgium Jupiler League,60.90881320699502
501,502,665380,10001,64.7397146366566,70.06099190664408,Belgium Jupiler League,67.40035327165035
502,503,665384,8342,70.13411239726457,65.37348780091747,Belgium Jupiler League,67.75380009909102
503,504,665385,9985,70.94540023894862,64.95537232859368,Belgium Jupiler League,67.95038628377115
504,505,665386,9997,59.18473042109406,61.290860990860985,Belgium Jupiler League,60.23779570597752
505,506,665387,9986,59.05875416449578,65.42455282091646,Belgium Jupiler League,62.24165349270612
506,507,665389,9991,61.72564948492367,62.93066722473838,Belgium Jupiler League,62.328158354831025
507,508,665392,9999,44.942424242424245,65.93685102776011,Belgium Jupiler League,55.43963763509218
508,509,665393,9993,65.83647909577054,65.61434784763664,Belgium Jupiler League,65.72541347170359
509,510,665396,8635,72.85921188166249,65.83647909577054,Belgium Jupiler League,69.34784548871652
510,511,665397,9987,61.290860990860985,51.102164502164506,Belgium Jupiler League,56.196512746512745
511,512,665399,10000,65.57194539030459,61.474880801017164,Belgium Jupiler League,63.52341309566088
512,513,665402,9984,64.4326450558664,65.60312424948789,Belgium Jupiler League,65.01788465267714
513,514,665403,9994,65.64392173483083,59.636303531349974,Belgium Jupiler League,62.640112633090396
514,515,665405,8571,65.8340448173336,69.87691273230323,Belgium Jupiler League,67.85547877481841
515,516,665409,10001,64.4909543060781,59.76914600550965,Belgium Jupiler League,62.13005015579387
516,517,838467,9997,63.47736455463728,58.23523143523144,Belgium Jupiler League,60.856297994934366
517,518,838468,8571,65.95615609880316,70.08546029179429,Belgium Jupiler League,68.02080819529873
